Day fraction since midnight on 5/7/2018,Time (sec),Time (min),Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.56924583,269.999136,4.4999856,29340.01758,1.54,2.9093,0.99999947,0.14210526,0.80305263
0.56930371,274.999968,4.5833328,29365.53906,1.54,2.9219,0.99999947,0.14210526,0.80305263
0.56936157,279.999072,4.6666512,29399.56445,1.54,2.8272,0.99999947,0.14210526,0.80305263
0.56941947,285.001632,4.7500272,29415.21094,1.54,2.6739,0.99999947,0.14210526,0.80305263
0.56947733,290.000736,4.8333456,29419.70313,1.54,2.6275,0.99999947,0.14210526,0.80305263
0.56953519,294.99984,4.916664,29457.85938,1.54,2.5741,0.99999947,0.14210526,0.80305263
0.56959306,299.999808,4.9999968,29462.78906,1.54,2.5156,0.99999947,0.14210526,0.80305263
0.56965092,304.998912,5.0833152,29526.33789,1.54,2.4656,0.99999947,0.14210526,0.80305263
0.5697088,309.999744,5.1666624,29532.00195,1.54,2.4362,0.99999947,0.14210526,0.80305263
0.56976669,315.00144,5.250024,29537.75391,1.54,2.4283,0.99999947,0.14210526,0.80305263
0.56982454,319.99968,5.333328,29564.93359,1.54,2.4079,0.99999947,0.14210526,0.80305263
0.56988244,325.00224,5.416704,29620.48047,1.54,2.3478,0.99999947,0.14210526,0.80305263
0.5699403,330.001344,5.5000224,29597.97656,1.54,2.2486,0.99999947,0.14210526,0.80305263
0.56999815,334.999584,5.5833264,29641.89844,1.54,2.1334,0.99999947,0.14210526,0.80305263
0.57005602,339.999552,5.6666592,29665.20703,1.54,2.0351,0.99999947,0.14210526,0.80305263
0.57011392,345.002112,5.7500352,29683.24023,1.55,2.0209,0.99999947,0.14210526,0.80305263
0.57017176,349.999488,5.8333248,29717.68555,1.55,2.0478,0.99999947,0.14210526,0.80305263
0.57022965,355.001184,5.9166864,29744.08594,1.57,2.2165,0.99999947,0.14210526,0.80305263
0.57028751,360.000288,6.0000048,29734.46094,1.59,2.827,0.99999947,0.14210526,0.80305263
0.57034538,365.000256,6.0833376,29769.73828,1.6,2.8448,0.99999947,0.14210526,0.80305263
0.57040326,370.001088,6.1666848,29809.83203,1.63,2.6372,0.99999947,0.14210526,0.80305263
0.57046111,374.999328,6.2499888,29811.58984,1.68,2.4463,0.99999947,0.14210526,0.80305263
0.57051898,379.999296,6.3333216,29819.04688,1.68,2.0212,0.99999947,0.14210526,0.80305263
0.57057685,384.999264,6.4166544,29861.25586,1.68,1.6637,0.99999947,0.14210526,0.80305263
0.57063474,390.00096,6.500016,29862.30469,1.67,1.4302,0.99999947,0.14210526,0.80305263
0.57069262,395.001792,6.5833632,29897.69727,1.66,1.2562,0.99999947,0.14210526,0.80305263
0.57075047,400.000032,6.6666672,29881.41797,1.67,1.0751,0.99999947,0.14210526,0.80305263
0.57080837,405.002592,6.7500432,29941.81836,1.7,0.8945,0.99999947,0.14210526,0.80305263
0.5708662,409.999104,6.8333184,29940.98047,1.73,0.7941,0.99999947,0.14210526,0.80305263
0.57092407,414.999072,6.9166512,29965.85352,1.69,0.6917,0.99999947,0.14210526,0.80305263
0.57098198,420.002496,7.0000416,29974,3.73,0.6235,0.99999947,0.14210526,0.80305263
0.57103982,424.999872,7.0833312,30015.13477,6.72,0.5993,0.99999947,0.14210526,0.80305263
0.5710977,430.000704,7.1666784,30034.64063,8.48,0.5042,0.99999947,0.14210526,0.80305263
0.57115556,434.999808,7.2499968,30021.32617,7.63,0.628,0.99999947,0.14210526,0.80305263
0.57121343,439.999776,7.3333296,30053.51758,7.09,0.5265,0.99999947,0.14210526,0.80305263
0.5712713,444.999744,7.4166624,30069.17969,6.46,0.3906,0.99999947,0.14210526,0.80305263
0.57132918,450.000576,7.5000096,30080.25977,5.32,0.672,0.99999947,0.14210526,0.80305263
0.57138705,455.000544,7.5833424,30136.23633,4.42,2.5469,0.99999947,0.14210526,0.80305263
0.57144493,460.001376,7.6666896,30209.45117,4.28,2.2826,0.99999947,0.14210526,0.80305263
0.5715028,465.001344,7.7500224,30261.80469,4.34,1.7755,0.99999947,0.14210526,0.80305263
0.57156066,470.000448,7.8333408,30297.59766,4.49,1.3151,0.99999947,0.14210526,0.80305263
0.57161853,475.000416,7.9166736,30378.38477,4.03,0.9796,0.99999947,0.14210526,0.80305263
0.5716764,480.000384,8.0000064,30412.51172,3.95,0.7906,0.99999947,0.14210526,0.80305263
0.57173427,485.000352,8.0833392,30501.85156,3.69,0.6423,0.99999947,0.14210526,0.80305263
0.57179216,490.002048,8.1667008,30522.45117,4.03,0.5532,0.99999947,0.14210526,0.80305263
0.57185,494.999424,8.2499904,30574.17188,3.43,0.5076,0.99999947,0.14210526,0.80305263
0.57190791,500.002848,8.3333808,30657.68164,3.34,0.47,0.99999947,0.14210526,0.80305263
0.57196575,505.000224,8.4166704,30715.58008,3.24,0.4298,0.99999947,0.14210526,0.80305263
0.57202362,510.000192,8.5000032,30766.19531,3.01,0.3923,0.99999947,0.14210526,0.80305263
0.57208149,515.00016,8.583336,30788.9043,2.76,0.3741,0.99999947,0.14210526,0.80305263
0.57213935,519.999264,8.6666544,30847.91406,2.53,0.3656,0.99999947,0.14210526,0.80305263
0.57219723,525.000096,8.7500016,30908.03711,2.86,0.413,0.99999947,0.14210526,0.80305263
0.57225511,530.000928,8.8333488,30978.77734,2.56,0.3816,0.99999947,0.14210526,0.80305263
0.57231297,535.000032,8.9166672,31050.24805,2.44,0.3684,0.99999947,0.14210526,0.80305263
0.57237084,540,9,31083.23242,2.67,0.3734,0.99999947,0.14210526,0.80305263
0.57242872,545.000832,9.0833472,31142.17773,2.5,0.3574,0.99999947,0.14210526,0.80305263
0.57248657,549.999072,9.1666512,31177.26758,2.77,0.3535,0.99999947,0.14210526,0.80305263
0.57254445,554.999904,9.2499984,31205.8418,2.42,0.4035,0.99999947,0.14210526,0.80305263
0.57260232,559.999872,9.3333312,31298.29688,2.19,0.3822,0.99999947,0.14210526,0.80305263
0.57266019,564.99984,9.416664,31304.36328,2.84,0.3801,0.99999947,0.14210526,0.80305263
0.57271808,570.001536,9.5000256,31382.43359,4.28,0.3709,0.99999947,0.14210526,0.80305263
0.57277594,575.00064,9.583344,31434.75,5.98,0.4311,0.99999947,0.14210526,0.80305263
0.57283383,580.002336,9.6667056,31484.6875,5.19,0.4396,0.99999947,0.14210526,0.80305263
0.57289168,585.000576,9.7500096,31519.375,5.72,0.4162,0.99999947,0.14210526,0.80305263
0.57294956,590.001408,9.8333568,31578.27734,6.88,0.373,0.99999947,0.14210526,0.80305263
0.57300742,595.000512,9.9166752,31615.48242,6.58,0.3787,0.99999947,0.14210526,0.80305263
0.57306528,599.999616,9.9999936,31667.99414,5.64,0.3675,0.99999947,0.14210526,0.80305263
0.57312315,604.999584,10.0833264,31712.75195,7.27,0.3619,0.99999947,0.14210526,0.80305263
0.57318105,610.002144,10.1667024,31748.30469,5.54,0.3524,0.99999947,0.14210526,0.80305263
0.5732389,615.000384,10.2500064,31780.69727,4.9,0.3544,0.99999947,0.14210526,0.80305263
0.57329677,620.000352,10.3333392,31827.91797,5.2,0.3496,0.99999947,0.14210526,0.80305263
0.57335464,625.00032,10.416672,31860.14648,4.79,0.3745,0.99999947,0.14210526,0.80305263
0.57341252,630.001152,10.5000192,31895.79297,6.27,0.4841,0.99999947,0.14210526,0.80305263
0.5734704,635.001984,10.5833664,31989.21484,4.5,0.4522,0.99999947,0.14210526,0.80305263
0.57352825,640.000224,10.6666704,32012.26367,3.42,0.4101,0.99999947,0.14210526,0.80305263
0.57358611,644.999328,10.7499888,32052.20313,2.76,0.3642,0.99999947,0.14210526,0.80305263
0.573644,650.001024,10.8333504,32075.32031,2.34,0.3387,0.99999947,0.14210526,0.80305263
0.57370186,655.000128,10.9166688,32124.85938,2.08,0.3282,0.99999947,0.14210526,0.80305263
0.57375975,660.001824,11.0000304,32176.50781,1.93,0.3669,0.99999947,0.14210526,0.80305263
0.57381759,664.9992,11.08332,32173.23828,1.84,0.3466,0.99999947,0.14210526,0.80305263
0.57387547,670.000032,11.1666672,32258.54492,1.83,0.3254,0.99999947,0.14210526,0.80305263
0.57393335,675.000864,11.2500144,32257.47266,1.81,0.3656,0.99999947,0.14210526,0.80305263
0.5739912,679.999104,11.3333184,32315.78711,1.77,1.373,0.99999947,0.14210526,0.80305263
0.5740491,685.001664,11.4166944,32348.0957,1.76,2.3415,0.99999947,0.14210526,0.80305263
0.57410694,689.99904,11.499984,32389.30273,1.72,1.6312,0.99999947,0.14210526,0.80305263
0.57416482,694.999872,11.5833312,32427.37305,1.68,1.2104,0.99999947,0.14210526,0.80305263
0.57422271,700.001568,11.6666928,32468.94922,1.67,1.0915,0.99999947,0.14210526,0.80305263
0.57428055,704.998944,11.7499824,32484.39844,1.66,0.7946,0.99999947,0.14210526,0.80305263
0.57433844,710.00064,11.833344,32521.50195,1.65,0.6111,0.99999947,0.14210526,0.80305263
0.5743963,714.999744,11.9166624,32568.80273,1.65,0.4879,0.99999947,0.14210526,0.80305263
0.57445419,720.00144,12.000024,32567.94336,1.66,0.4261,0.99999947,0.14210526,0.80305263
0.57451204,724.99968,12.083328,32608.21484,1.7,0.3944,0.99999947,0.14210526,0.80305263
0.57456991,729.999648,12.1666608,32645.50977,1.69,0.3945,0.99999947,0.14210526,0.80305263
0.57462778,734.999616,12.2499936,32669.08008,1.66,0.474,0.99999947,0.14210526,0.80305263
0.57468567,740.001312,12.3333552,32705.25195,1.63,0.4847,0.99999947,0.14210526,0.80305263
0.57474352,744.999552,12.4166592,32726.7207,1.63,0.4329,0.99999947,0.14210526,0.80305263
0.57480142,750.002112,12.5000352,32759.06641,1.64,0.4025,0.99999947,0.14210526,0.80305263
0.57485927,755.000352,12.5833392,32777.26953,1.65,0.3916,0.99999947,0.14210526,0.80305263
0.57491713,759.999456,12.6666576,32810.67969,1.69,0.3636,0.99999947,0.14210526,0.80305263
0.57497503,765.002016,12.7500336,32842.83594,1.66,0.341,0.99999947,0.14210526,0.80305263
0.57503288,770.000256,12.8333376,32842.20313,1.67,0.3354,0.99999947,0.14210526,0.80305263
0.57509074,774.99936,12.916656,32890.16797,1.67,0.3247,0.99999947,0.14210526,0.80305263
