Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.47896471,275.000832,4.5833472,32152.74023,1.33,14.938,0.99999947,0.14210526,0.80305263
0.47902254,279.997344,4.6666224,32175.84375,1.34,14.925,0.99999947,0.14210526,0.80305263
0.47908044,284.999904,4.7499984,32174.81055,1.34,14.409,0.99999947,0.14210526,0.80305263
0.47913833,290.0016,4.83336,32171.10547,1.34,14.614,0.99999947,0.14210526,0.80305263
0.47919619,295.000704,4.9166784,32176.66211,1.34,13.917,0.99999947,0.14210526,0.80305263
0.47925406,300.000672,5.0000112,32167.63867,1.35,13.773,0.99999947,0.14210526,0.80305263
0.47931193,305.00064,5.083344,32175.85938,1.35,14.001,0.99999947,0.14210526,0.80305263
0.4793698,310.000608,5.1666768,32149.52148,1.35,13.38,0.99999947,0.14210526,0.80305263
0.47942767,315.000576,5.2500096,32153.97852,1.36,13.367,0.99999947,0.14210526,0.80305263
0.47948556,320.002272,5.3333712,32161.02344,1.36,13.539,0.99999947,0.14210526,0.80305263
0.47954342,325.001376,5.4166896,32167.67383,1.37,13.301,0.99999947,0.14210526,0.80305263
0.47960125,329.997888,5.4999648,32160.61133,1.37,12.776,0.99999947,0.14210526,0.80305263
0.47965916,335.001312,5.5833552,32164.47656,1.38,12.435,0.99999947,0.14210526,0.80305263
0.47971702,340.000416,5.6666736,32151.85352,1.38,12.314,0.99999947,0.14210526,0.80305263
0.47977493,345.00384,5.750064,32126.95703,1.38,12.049,0.99999947,0.14210526,0.80305263
0.47983276,350.000352,5.8333392,32138.54492,1.38,11.72,0.99999947,0.14210526,0.80305263
0.47989064,355.001184,5.9166864,32125.66602,1.38,11.64,0.99999947,0.14210526,0.80305263
0.47994852,360.002016,6.0000336,32126.54688,1.38,11.393,0.99999947,0.14210526,0.80305263
0.48000638,365.00112,6.083352,32153.08594,1.38,11.606,0.99999947,0.14210526,0.80305263
0.48006424,370.000224,6.1666704,32099.14844,1.38,11.66,0.99999947,0.14210526,0.80305263
0.4801221,374.999328,6.2499888,32125.08594,1.38,11.483,0.99999947,0.14210526,0.80305263
0.48017998,380.00016,6.333336,32114.31055,1.38,11.066,0.99999947,0.14210526,0.80305263
0.48023788,385.00272,6.416712,32095.875,1.38,11.005,0.99999947,0.14210526,0.80305263
0.48029572,390.000096,6.5000016,32120.07422,1.37,11.156,0.99999947,0.14210526,0.80305263
0.48035361,395.001792,6.5833632,32115.43945,1.37,11.041,0.99999947,0.14210526,0.80305263
0.48041148,400.00176,6.666696,32078.54688,1.36,10.513,0.99999947,0.14210526,0.80305263
0.48046934,405.000864,6.7500144,32111.53906,1.36,10.591,0.99999947,0.14210526,0.80305263
0.48052722,410.001696,6.8333616,32100.1875,1.36,10.476,0.99999947,0.14210526,0.80305263
0.48058508,415.0008,6.91668,32093.92578,1.35,10.728,0.99999947,0.14210526,0.80305263
