Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.55384895,280.0008,4.66668,30924.19336,1.32,13.347,0.99999947,0.14210526,0.80305263
0.55390681,284.999904,4.7499984,30902.25586,1.32,13.187,0.99999947,0.14210526,0.80305263
0.55396468,289.999872,4.8333312,30914.75586,1.32,12.738,0.99999947,0.14210526,0.80305263
0.55402257,295.001568,4.9166928,30894.83789,1.32,14.047,0.99999947,0.14210526,0.80305263
0.55408045,300.0024,5.00004,30926.80078,1.32,12.396,0.99999947,0.14210526,0.80305263
0.55413831,305.001504,5.0833584,30889.64453,1.32,11.741,0.99999947,0.14210526,0.80305263
0.55419616,309.999744,5.1666624,30872.77148,1.32,10.887,0.99999947,0.14210526,0.80305263
0.55425404,315.000576,5.2500096,30896.69531,1.31,11.069,0.99999947,0.14210526,0.80305263
0.55431192,320.001408,5.3333568,30879.58203,1.31,11.047,0.99999947,0.14210526,0.80305263
0.55436978,325.000512,5.4166752,30867.44922,1.31,10.528,0.99999947,0.14210526,0.80305263
0.55442765,330.00048,5.500008,30864.33594,1.31,8.1415,0.99999947,0.14210526,0.80305263
0.55448552,335.000448,5.5833408,30861.98242,1.31,9.1375,0.99999947,0.14210526,0.80305263
0.55454339,340.000416,5.6666736,30855.97266,1.31,9.5474,0.99999947,0.14210526,0.80305263
0.55460125,344.99952,5.749992,30863.3125,1.31,9.416,0.99999947,0.14210526,0.80305263
0.55465912,349.999488,5.8333248,30861.33203,1.31,8.8237,0.99999947,0.14210526,0.80305263
0.55471699,354.999456,5.9166576,30852.91992,1.31,9.3401,0.99999947,0.14210526,0.80305263
0.55477488,360.001152,6.0000192,30851.23828,1.31,9.0629,0.99999947,0.14210526,0.80305263
0.55483275,365.00112,6.083352,30832.8457,1.32,8.6935,0.99999947,0.14210526,0.80305263
0.55489061,370.000224,6.1666704,30834.79883,1.32,8.333,0.99999947,0.14210526,0.80305263
0.55494849,375.001056,6.2500176,30830.74023,1.33,7.925,0.99999947,0.14210526,0.80305263
0.55500636,380.001024,6.3333504,30828.33594,1.33,7.5092,0.99999947,0.14210526,0.80305263
0.55506423,385.000992,6.4166832,30801.97266,1.34,7.3991,0.99999947,0.14210526,0.80305263
0.55512208,389.999232,6.4999872,30797.87109,1.35,7.5784,0.99999947,0.14210526,0.80305263
0.55517997,395.000928,6.5833488,30810.99609,1.36,6.8946,0.99999947,0.14210526,0.80305263
0.55523784,400.000896,6.6666816,30818.75195,1.37,6.4784,0.99999947,0.14210526,0.80305263
0.5552957,405,6.75,30807.78125,1.38,6.3473,0.99999947,0.14210526,0.80305263
0.55535357,409.999968,6.8333328,30768.35352,1.39,6.0138,0.99999947,0.14210526,0.80305263
0.55541143,414.999072,6.9166512,30806.32031,1.4,5.791,0.99999947,0.14210526,0.80305263
0.55546933,420.001632,7.0000272,30769.21875,1.41,5.8937,0.99999947,0.14210526,0.80305263
0.55552719,425.000736,7.0833456,30785.86719,1.43,5.7529,0.99999947,0.14210526,0.80305263
0.55558506,430.000704,7.1666784,30770.47852,1.44,5.5963,0.99999947,0.14210526,0.80305263
0.55564293,435.000672,7.2500112,30761.01367,1.45,5.609,0.99999947,0.14210526,0.80305263
0.55570079,439.999776,7.3333296,30738.12891,1.45,5.4621,0.99999947,0.14210526,0.80305263
0.55575867,445.000608,7.4166768,30735.37305,1.46,5.3279,0.99999947,0.14210526,0.80305263
0.55581654,450.000576,7.5000096,30773.43164,1.47,5.2405,0.99999947,0.14210526,0.80305263
0.55587444,455.003136,7.5833856,30731.68359,1.47,5.2658,0.99999947,0.14210526,0.80305263
0.55593227,459.999648,7.6666608,30753.67773,1.47,5.0936,0.99999947,0.14210526,0.80305263
0.55599016,465.001344,7.7500224,30750.9375,1.47,5.0361,0.99999947,0.14210526,0.80305263
0.55604804,470.002176,7.8333696,30722.38867,1.47,5.1795,0.99999947,0.14210526,0.80305263
0.5561059,475.00128,7.916688,30726.99414,1.47,5.2332,0.99999947,0.14210526,0.80305263
0.55616377,480.001248,8.0000208,30707.88672,1.47,5.3253,0.99999947,0.14210526,0.80305263
0.55622163,485.000352,8.0833392,30720.29492,1.46,5.0768,0.99999947,0.14210526,0.80305263
0.5562795,490.00032,8.166672,30721.40039,1.46,5.0514,0.99999947,0.14210526,0.80305263
0.55633737,495.000288,8.2500048,30707.89453,1.45,4.9785,0.99999947,0.14210526,0.80305263
0.55639524,500.000256,8.3333376,30708.71875,1.45,4.9697,0.99999947,0.14210526,0.80305263
0.55645311,505.000224,8.4166704,30699.03125,1.44,5.0113,0.99999947,0.14210526,0.80305263
0.55651098,510.000192,8.5000032,30701.83984,1.43,5.1876,0.99999947,0.14210526,0.80305263
0.55656885,515.00016,8.583336,30682.34766,1.43,5.2173,0.99999947,0.14210526,0.80305263
0.55662674,520.001856,8.6666976,30679.99414,1.42,5.0138,0.99999947,0.14210526,0.80305263
0.5566846,525.00096,8.750016,30670.40039,1.41,4.9088,0.99999947,0.14210526,0.80305263
0.55674247,530.000928,8.8333488,30660.87109,1.41,4.8897,0.99999947,0.14210526,0.80305263
0.55680033,535.000032,8.9166672,30624.31641,1.4,4.8199,0.99999947,0.14210526,0.80305263
0.5568582,540,9,30668.42383,1.39,4.7687,0.99999947,0.14210526,0.80305263
0.55691608,545.000832,9.0833472,30643.77148,1.39,4.8828,0.99999947,0.14210526,0.80305263
0.55697394,549.999936,9.1666656,30648.31055,1.38,4.993,0.99999947,0.14210526,0.80305263
0.55703182,555.000768,9.2500128,30626.62891,1.38,4.9062,0.99999947,0.14210526,0.80305263
0.55708969,560.000736,9.3333456,30631.7793,1.37,4.9379,0.99999947,0.14210526,0.80305263
0.55714756,565.000704,9.4166784,30628.53125,1.37,4.9459,0.99999947,0.14210526,0.80305263
0.55720543,570.000672,9.5000112,30620.22461,1.37,4.9419,0.99999947,0.14210526,0.80305263
